ISO 3166-1 numeric code,Location,Year,Sex,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
96,         Brunei,1983,Male,15.468,14.268,12.127,10.478,11.48,12.225,9.916,6.784,5.025,3.988,3.159,2.535,1.803,1.313,0.91,0.552,0,0,0,0,0
96,         Brunei,1986,Both,31.809,28.611,25.696,22.685,21.831,23.536,21.545,15.634,10.166,7.986,6.514,4.924,3.562,2.431,1.862,1.196,0,0,0,0,0
96,         Brunei,1986,Female,15.478,13.968,12.45,11.257,10.497,10.913,9.769,7.025,4.34,3.556,3.137,2.185,1.548,1.026,0.872,0.554,0,0,0,0,0
96,         Brunei,1986,Male,16.332,14.644,13.246,11.428,11.336,12.622,11.776,8.611,5.825,4.431,3.38,2.739,2.013,1.405,0.991,0.644,0,0,0,0,0
96,         Brunei,1989,Both,33.379,29.343,25.582,23.874,25.128,25.982,25.189,19.889,13.025,8.096,6.651,5.008,3.571,2.598,1.742,1.254,0,0,0,0,0
96,         Brunei,1989,Female,16.253,14.302,12.387,11.574,12.345,12.17,11.485,8.763,5.625,3.499,3.138,2.494,1.603,1.2,0.781,0.618,0,0,0,0,0
96,         Brunei,1989,Male,17.126,15.042,13.194,12.302,12.783,13.814,13.701,11.125,7.401,4.597,3.512,2.515,1.969,1.398,0.962,0.636,0,0,0,0,0
96,         Brunei,1992,Both,35.381,30.969,27.204,25.426,27.579,27.796,26.731,23.268,16.454,9.904,6.69,5.401,3.962,2.797,1.887,1.178,0.841,0.392,0.085,0.018,0
96,         Brunei,1992,Female,17.148,15,13.226,12.286,13.678,13.524,12.328,10.302,7.038,4.167,2.916,2.657,1.916,1.29,0.883,0.582,0.422,0.197,0.05,0.01,0
96,         Brunei,1992,Male,18.23,15.969,13.975,13.14,13.898,14.269,14.406,12.968,9.42,5.742,3.777,2.744,2.047,1.508,1.003,0.596,0.419,0.194,0.035,0.008,0
96,         Brunei,1995,Both,37.461,32.621,28.458,27.008,29.01,32.601,26.949,25.411,19.711,12.558,7.491,5.422,4.598,3.203,2.185,1.262,0.709,0.431,0.087,0.015,0.001
96,         Brunei,1995,Female,18.243,15.779,13.761,13.324,14.222,16.639,13.019,11.475,8.507,5.259,3.096,2.33,2.372,1.443,1.051,0.614,0.408,0.221,0.052,0.009,0.001
